station_id,first_date,last_date,n_observed_days,n_missing_days,history_days,total_demand,history_group,is_short_history,is_zero_almost_always,appears_active_recently
4312,2019-02-16,2024-12-31,2146,0,2146,3696.0,mature,False,False,True
4313,2019-02-06,2024-12-30,2155,0,2155,4692.0,mature,False,False,True
4314,2019-02-09,2024-12-31,2153,0,2153,6148.0,mature,False,False,True
4315,2019-02-06,2024-12-31,2156,0,2156,10272.0,mature,False,False,True
4321,2020-07-22,2020-08-30,40,0,40,24.0,newborn,True,False,False
4322,2019-03-03,2020-09-20,568,0,568,650.0,mature,False,False,False
4323,2019-03-01,2020-09-12,562,0,562,491.0,mature,False,False,False
4324,2019-02-28,2020-09-09,560,0,560,501.0,mature,False,False,False
4325,2019-02-28,2020-09-15,566,0,566,643.0,mature,False,False,False
4327,2019-05-02,2019-05-02,1,0,1,1.0,newborn,True,False,False
4328,2019-03-03,2020-08-15,532,0,532,258.0,mature,False,False,False
4329,2019-02-28,2020-09-20,571,0,571,956.0,mature,False,False,False
4330,2019-03-01,2020-09-27,577,0,577,1137.0,mature,False,False,False
4331,2019-02-28,2020-09-25,576,0,576,576.0,mature,False,False,False
4332,2019-03-03,2020-09-19,567,0,567,302.0,mature,False,False,False
4333,2019-03-03,2020-09-16,564,0,564,251.0,mature,False,False,False
4334,2019-02-28,2020-09-14,565,0,565,646.0,mature,False,False,False
4335,2019-03-01,2020-09-15,565,0,565,582.0,mature,False,False,False
4336,2019-03-02,2020-08-19,537,0,537,369.0,mature,False,False,False
4337,2019-05-29,2020-07-25,424,0,424,118.0,mature,False,False,False
4338,2019-07-03,2020-09-14,440,0,440,214.0,mature,False,False,False
4340,2019-03-07,2020-09-26,570,0,570,696.0,mature,False,False,False
4341,2019-03-05,2020-09-25,571,0,571,292.0,mature,False,False,False
4342,2019-02-11,2020-09-26,594,0,594,1379.0,mature,False,False,False
4343,2019-02-12,2020-09-23,590,0,590,703.0,mature,False,False,False
4344,2019-02-08,2020-09-25,596,0,596,4652.0,mature,False,False,False
4345,2019-02-28,2020-09-19,570,0,570,7111.0,mature,False,False,False
4346,2019-02-09,2020-09-25,595,0,595,5666.0,mature,False,False,False
4347,2019-03-01,2020-09-24,574,0,574,2293.0,mature,False,False,False
4348,2019-02-09,2020-09-15,585,0,585,705.0,mature,False,False,False
4349,2019-02-28,2020-09-26,577,0,577,2055.0,mature,False,False,False
4350,2019-03-04,2020-09-23,570,0,570,535.0,mature,False,False,False
4351,2019-03-01,2020-09-25,575,0,575,751.0,mature,False,False,False
4352,2019-02-09,2020-09-24,594,0,594,745.0,mature,False,False,False
4353,2019-02-28,2020-09-23,574,0,574,1931.0,mature,False,False,False
4354,2019-02-28,2020-09-21,572,0,572,745.0,mature,False,False,False
4356,2019-03-03,2019-03-03,1,0,1,66.0,newborn,True,False,False
4357,2019-03-03,2019-03-03,1,0,1,47.0,newborn,True,False,False
4362,2019-06-28,2019-06-28,1,0,1,1.0,newborn,True,False,False
4363,2019-04-13,2019-12-12,244,0,244,8.0,young,True,True,False
4369,2019-03-03,2019-03-03,1,0,1,11.0,newborn,True,False,False
4372,2019-03-26,2020-08-21,515,0,515,353.0,mature,False,False,False
4373,2019-03-25,2019-03-25,1,0,1,2.0,newborn,True,False,False
4374,2019-03-28,2019-04-25,29,0,29,7.0,newborn,True,False,False
4378,2019-03-27,2020-09-15,539,0,539,214.0,mature,False,False,False
4379,2019-03-24,2020-08-16,512,0,512,81.0,mature,False,False,False
4380,2019-03-24,2020-08-25,521,0,521,189.0,mature,False,False,False
4381,2019-04-17,2020-09-25,528,0,528,219.0,mature,False,False,False
4382,2019-03-21,2020-09-20,550,0,550,171.0,mature,False,False,False
4383,2019-05-10,2020-09-01,481,0,481,228.0,mature,False,False,False
4384,2019-07-03,2020-08-26,421,0,421,117.0,mature,False,False,False
4385,2019-04-20,2020-09-02,502,0,502,146.0,mature,False,False,False
4387,2019-04-02,2024-12-31,2101,0,2101,5284.0,mature,False,False,True
4389,2019-05-08,2020-09-03,485,0,485,315.0,mature,False,False,False
4390,2019-05-11,2024-12-30,2061,0,2061,5247.0,mature,False,False,True
4393,2019-06-02,2020-09-15,472,0,472,425.0,mature,False,False,False
4394,2019-05-17,2020-09-04,477,0,477,181.0,mature,False,False,False
4395,2019-05-17,2019-10-16,153,0,153,12.0,young,True,True,False
4396,2019-05-23,2020-08-04,440,0,440,172.0,mature,False,False,False
4397,2019-05-18,2020-08-13,454,0,454,315.0,mature,False,False,False
4400,2019-06-12,2020-09-07,454,0,454,471.0,mature,False,False,False
4401,2019-06-01,2024-12-30,2040,0,2040,4939.0,mature,False,False,True
4402,2019-08-18,2019-08-18,1,0,1,90.0,newborn,True,False,False
4403,2020-02-19,2022-12-04,1020,0,1020,130.0,mature,False,True,False
4404,2019-06-06,2024-12-31,2036,0,2036,4050.0,mature,False,False,True
4405,2019-06-27,2024-12-31,2015,0,2015,3800.0,mature,False,False,True
4406,2019-08-15,2024-12-30,1965,0,1965,5688.0,mature,False,False,True
