station_category,station_count,avg_demand_mean,zero_rate_mean,outlier_rate_mean
mixed_profile,102,2.8727652592187347,0.17419782820211865,0.016930182169545546
weekend_leisure,91,3.7324428676374217,0.24946892704566126,0.016024759151995603
sparse_intermittent,91,0.6042607040024299,0.6802808153361793,0.011571248800986622
busy_stable,64,27.994958594772445,0.02064878189045034,0.005276777530619512
anomaly_heavy,26,6.611374707792795,0.2120539798582913,0.11523415349330991
seasonal_commuter,7,4.514097480058324,0.1651091534278483,0.030776539425380427
