station_id,start_date,end_date,n_days,missing_rate,avg_demand,median_demand,std_demand,coefficient_of_variation,zero_rate,active_day_rate,total_demand,lag1_autocorr,lag7_autocorr,weekday_effect_strength,month_effect_strength,weekend_ratio,trend_slope,rolling_mean_shift_30d,rolling_std_shift_30d,outlier_rate,max_value,p95_value,correlation_with_system_total,demand_share_of_system,station_category
3000,2021-07-01,2021-07-01,1,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,,,0.0,0.0,,,,,0.0,2.0,2.0,,1.052761788958108e-06,mixed_profile
3005,2019-01-01,2024-12-30,2191,0.0,27.19899589228663,25.0,15.53655070913279,0.5712178041667636,0.022820629849383843,0.9771793701506162,59593.0,0.6224450059715592,0.5893173037960471,0.11142909089360835,0.15325098299465578,0.7832885225669958,0.0005204443042687827,6.100000000000001,3.3269761284054447,0.003194888178913738,219.0,55.0,0.4943544607860301,0.03136861664469026,busy_stable
3006,2019-01-01,2024-12-31,2192,0.0,15.871350364963504,13.0,11.571574330361614,0.7290856835916256,0.006843065693430657,0.9931569343065694,34790.0,0.7529332097257182,0.6706509583932144,0.03911139498306893,0.11327489278701486,0.9812973486059251,0.007105353851882461,6.799999999999999,2.274366125996136,0.024635036496350366,82.0,38.44999999999982,0.6337373010485924,0.018312791318926287,busy_stable
3007,2019-01-01,2024-12-31,2192,0.0,7.899178832116788,7.0,5.97847105153186,0.7568471582418619,0.045164233576642336,0.9548357664233577,17315.0,0.6142559149597772,0.655537236411167,0.2595304532679857,0.09664830951362113,0.5259526883218765,-0.0012143451043898348,-3.666666666666667,0.09247090203093045,0.006843065693430657,38.0,20.0,0.3641578927224533,0.00911428518790482,busy_stable
3008,2019-01-01,2024-12-31,2192,0.0,8.503649635036496,8.0,5.470723790957868,0.6433383342156463,0.011861313868613138,0.9881386861313869,18640.0,0.535158058787635,0.4674239993054237,0.022362249234777122,0.09924538831948237,0.9881328625882468,0.002176052685892677,1.7333333333333343,0.6822423610354784,0.005018248175182482,46.0,18.449999999999818,0.5966322732697256,0.009811739873089566,busy_stable
3010,2019-01-01,2024-12-27,2188,0.0,1.5082266910420474,1.0,1.677746039515048,1.112396464987553,0.33638025594149906,0.6636197440585009,3300.0,0.254699957917695,0.20751291780306289,0.1545562372865319,0.1402303916605528,0.7207274127874986,0.00017365145293363763,-0.6666666666666667,-1.0731164743956358,0.013254113345521023,16.0,5.0,0.3332389720740828,0.0017370569517808781,mixed_profile
3011,2019-01-01,2024-12-31,2192,0.0,3.9762773722627736,3.0,4.202599909110708,1.0569181965087966,0.16195255474452555,0.8380474452554745,8716.0,0.47676878645541093,0.28402286914713926,0.09067898460972416,0.18150767349878077,1.097597558004255,-0.00044834823070241865,-2.933333333333333,-2.6175853572158467,0.02509124087591241,71.0,11.0,0.32221722145914916,0.004587935876279435,mixed_profile
3013,2019-01-02,2019-08-15,226,0.0,0.4469026548672566,0.0,2.4366875381684703,5.452389936891825,0.831858407079646,0.168141592920354,101.0,-0.021954581176569753,-0.013596488531992378,0.8849840941270499,0.8632638995565631,3.0264945652173916,0.001987186984263122,0.36666666666666664,0.2658386083311962,0.004424778761061947,35.0,2.0,0.009344968555954087,5.316447034238445e-05,sparse_intermittent
3014,2019-01-01,2024-12-31,2192,0.0,12.274178832116789,8.0,12.643342686536142,1.0300764604678396,0.015967153284671534,0.9840328467153284,26905.0,0.7134649571116344,0.8273036781004014,0.32490591628844995,0.1278785569431287,0.438918927671076,-0.007162194645527843,-19.133333333333333,-10.704409630133622,0.12408759124087591,75.0,43.0,0.21138175121073102,0.014162277965958947,anomaly_heavy
3016,2019-01-01,2024-12-28,2189,0.0,3.367747830059388,2.0,4.0358694943045546,1.1983882695378012,0.22521699406121518,0.7747830059387848,7372.0,0.5897541392755439,0.6801486053737272,0.39194256257054866,0.09775835249790221,0.3357065846153846,-0.002293827798589846,-3.6333333333333337,-1.497629147671797,0.04979442667884879,26.0,12.0,0.14806254442109107,0.003880479954099586,seasonal_commuter
