station_id,history_group,station_category,cluster_label,is_short_history,is_zero_almost_always,appears_active_recently
4647,newborn,short_history,not_clustered_short_history,True,False,False
4648,newborn,short_history,not_clustered_short_history,True,False,False
4650,newborn,short_history,not_clustered_short_history,True,False,False
4651,newborn,short_history,not_clustered_short_history,True,False,False
4652,mature,busy_stable,cluster_2,False,False,True
4654,newborn,short_history,not_clustered_short_history,True,False,False
4655,newborn,short_history,not_clustered_short_history,True,False,False
4660,mature,busy_stable,cluster_2,False,False,True
4661,newborn,short_history,not_clustered_short_history,True,False,False
4662,newborn,short_history,not_clustered_short_history,True,False,False
4663,newborn,short_history,not_clustered_short_history,True,False,False
4664,young,short_history,not_clustered_short_history,True,False,True
4665,newborn,short_history,not_clustered_short_history,True,False,False
4667,newborn,short_history,not_clustered_short_history,True,False,False
4669,newborn,short_history,not_clustered_short_history,True,False,False
4670,newborn,short_history,not_clustered_short_history,True,False,False
4671,newborn,short_history,not_clustered_short_history,True,False,False
4672,young,short_history,not_clustered_short_history,True,False,True
4675,newborn,short_history,not_clustered_short_history,True,False,False
4678,newborn,short_history,not_clustered_short_history,True,False,False
4680,young,short_history,not_clustered_short_history,True,False,True
4682,newborn,short_history,not_clustered_short_history,True,False,False
4684,newborn,short_history,not_clustered_short_history,True,False,False
4686,newborn,short_history,not_clustered_short_history,True,False,False
4687,newborn,short_history,not_clustered_short_history,True,False,False
4689,newborn,short_history,not_clustered_short_history,True,False,True
