date,prediction,model_name,fold_id,horizon,horizon_step,actual,fit_success,fallback_triggered,fallback_reason,exception_type,warning_count,n_train,n_exog,condition_number,model_runtime_seconds,selected_spec,used_exog_columns,point_forecast,lower_80,upper_80,lower_95,upper_95,interval_calibration_method,interval_source_horizon,interval_source_step_start,interval_source_step_end,interval_n_residuals
2024-11-01,1495.5913891119653,sarimax_dynamic,1,7,2,1817.0,True,False,,,0.0,1095.0,8.0,5.366867922962925,2.2201539159868844,"order=(0, 1, 1); seasonal_order=(0, 1, 1, 7); trend=n",is_holiday|is_weekend|yearly_cos_1|yearly_cos_2|yearly_cos_3|yearly_sin_1|yearly_sin_2|yearly_sin_3,1495.5913891119653,1220.1658912659473,1617.7171146992923,1152.2521621396336,1776.9755167646356,pooled_nearby_steps,7,1,3,24
2024-11-02,1520.1041657189269,sarimax_dynamic,1,7,3,1211.0,True,False,,,0.0,1095.0,8.0,5.366867922962925,2.2201539159868844,"order=(0, 1, 1); seasonal_order=(0, 1, 1, 7); trend=n",is_holiday|is_weekend|yearly_cos_1|yearly_cos_2|yearly_cos_3|yearly_sin_1|yearly_sin_2|yearly_sin_3,1520.1041657189269,1276.8422820984997,1624.008417968993,1217.2784507208296,1801.4882933715971,pooled_nearby_steps,7,2,4,24
2024-11-03,1512.7892161175032,sarimax_dynamic,1,7,4,1344.0,True,False,,,0.0,1095.0,8.0,5.366867922962925,2.2201539159868844,"order=(0, 1, 1); seasonal_order=(0, 1, 1, 7); trend=n",is_holiday|is_weekend|yearly_cos_1|yearly_cos_2|yearly_cos_3|yearly_sin_1|yearly_sin_2|yearly_sin_3,1512.7892161175032,1271.548941169353,1596.4240849603552,1209.963501119406,1684.1760645381519,pooled_nearby_steps,7,3,5,24
2024-11-04,1359.454397699083,sarimax_dynamic,1,7,5,1361.0,True,False,,,0.0,1095.0,8.0,5.366867922962925,2.2201539159868844,"order=(0, 1, 1); seasonal_order=(0, 1, 1, 7); trend=n",is_holiday|is_weekend|yearly_cos_1|yearly_cos_2|yearly_cos_3|yearly_sin_1|yearly_sin_2|yearly_sin_3,1359.454397699083,1157.5413542802908,1441.2615621398056,1015.05251743553,1450.148355277643,pooled_nearby_steps,7,4,6,24
2024-11-05,1392.7431848360247,sarimax_dynamic,1,7,6,1482.0,True,False,,,0.0,1095.0,8.0,5.366867922962925,2.2201539159868844,"order=(0, 1, 1); seasonal_order=(0, 1, 1, 7); trend=n",is_holiday|is_weekend|yearly_cos_1|yearly_cos_2|yearly_cos_3|yearly_sin_1|yearly_sin_2|yearly_sin_3,1392.7431848360247,1237.5175595687615,1484.36705809461,972.6177066392687,1488.1982397403963,pooled_nearby_steps,7,5,7,24
2024-11-06,1379.3534975005855,sarimax_dynamic,1,7,7,1217.0,True,False,,,0.0,1095.0,8.0,5.366867922962925,2.2201539159868844,"order=(0, 1, 1); seasonal_order=(0, 1, 1, 7); trend=n",is_holiday|is_weekend|yearly_cos_1|yearly_cos_2|yearly_cos_3|yearly_sin_1|yearly_sin_2|yearly_sin_3,1379.3534975005855,1224.1278722333223,1470.9773707591708,959.2280193038295,1474.808552404957,pooled_nearby_steps,7,5,7,24
2024-10-31,1315.690673828125,fourier_dynamic_regression,1,7,1,1459.0,,,,,,,,,,,,1315.690673828125,1071.1334594726563,1506.0340942382813,977.6791877746582,1724.307389831543,pooled_nearby_steps,7,1,3,24
2024-11-01,1357.6116333007812,fourier_dynamic_regression,1,7,2,1817.0,,,,,,,,,,,,1357.6116333007812,1113.0544189453126,1547.9550537109376,1019.6001472473145,1766.2283493041994,pooled_nearby_steps,7,1,3,24
2024-11-02,1337.744140625,fourier_dynamic_regression,1,7,3,1211.0,,,,,,,,,,,,1337.744140625,1090.920703125,1500.7945434570313,1039.2904838562013,1746.360856628418,pooled_nearby_steps,7,2,4,24
2024-11-03,1334.90625,fourier_dynamic_regression,1,7,4,1344.0,,,,,,,,,,,,1334.90625,1088.0828125,1466.262060546875,1069.9150268554688,1592.1640625,pooled_nearby_steps,7,3,5,24
