fold_id,horizon,train_start,train_end,test_start,test_end,mae,rmse,mase,bias,model_name,fit_success,fallback_triggered,fallback_reason,exception_type,warning_count,n_train,n_exog,condition_number,model_runtime_seconds,selected_spec,used_exog_columns
4,7,2019-01-01,2024-11-20,2024-11-21,2024-11-27,78.14174543108258,112.07880758658655,0.6024174314982095,13.587607247488839,fourier_dynamic_regression,,,,,,,,,,,
4,7,2019-01-01,2024-11-20,2024-11-21,2024-11-27,97.90410486134199,127.63921728003437,0.7547712053055929,77.03200060482261,tree_boosting_fallback,,,,,,,,,,,
5,7,2019-01-01,2024-11-27,2024-11-28,2024-12-04,110.42857142857143,152.02396427631308,0.8511368127064209,86.71428571428571,naive,,,,,,,,,,,
5,7,2019-01-01,2024-11-27,2024-11-28,2024-12-04,195.14285714285714,266.9349840584514,1.5040787660504154,126.57142857142857,seasonal_naive_7,,,,,,,,,,,
5,7,2019-01-01,2024-11-27,2024-11-28,2024-12-04,414.57142857142856,480.2151303619779,3.195341565943122,414.57142857142856,seasonal_naive_30,,,,,,,,,,,
5,7,2019-01-01,2024-11-27,2024-11-28,2024-12-04,140.28191613988247,196.17056601205383,1.0812337915725005,128.21219588737182,ets,,,,,,,,,,,
5,7,2019-01-01,2024-11-27,2024-11-28,2024-12-04,134.42726978714998,184.00555998916528,1.036108648942079,100.1986520716688,sarimax_dynamic,True,False,,,0.0,1095.0,8.0,5.435275049231814,2.557550708006602,"order=(0, 1, 1); seasonal_order=(0, 1, 1, 7); trend=n",is_holiday|is_weekend|yearly_cos_1|yearly_cos_2|yearly_cos_3|yearly_sin_1|yearly_sin_2|yearly_sin_3
5,7,2019-01-01,2024-11-27,2024-11-28,2024-12-04,120.48899623325893,163.33730700162786,0.9286783202344163,106.67258998325893,fourier_dynamic_regression,,,,,,,,,,,
5,7,2019-01-01,2024-11-27,2024-11-28,2024-12-04,150.31864392329427,202.66907284275794,1.1585926524638663,128.47417503377503,tree_boosting_fallback,,,,,,,,,,,
6,7,2019-01-01,2024-12-04,2024-12-05,2024-12-11,65.57142857142857,81.43095234614415,0.5045718646177921,27.285714285714285,naive,,,,,,,,,,,
6,7,2019-01-01,2024-12-04,2024-12-05,2024-12-11,76.0,119.41643820800265,0.584819677509075,-37.42857142857143,seasonal_naive_7,,,,,,,,,,,
6,7,2019-01-01,2024-12-04,2024-12-05,2024-12-11,306.14285714285717,353.23464479820535,2.355767986657797,306.14285714285717,seasonal_naive_30,,,,,,,,,,,
6,7,2019-01-01,2024-12-04,2024-12-05,2024-12-11,68.17333548086332,91.44546337931504,0.5245935272452167,27.529694808390495,ets,,,,,,,,,,,
6,7,2019-01-01,2024-12-04,2024-12-05,2024-12-11,78.49651322261057,86.12782884470012,0.6040303361636047,-19.425105810520954,sarimax_dynamic,True,False,,,0.0,1095.0,8.0,5.368013379138759,1.0011634579859674,"order=(0, 1, 1); seasonal_order=(0, 1, 1, 7); trend=n",is_holiday|is_weekend|yearly_cos_1|yearly_cos_2|yearly_cos_3|yearly_sin_1|yearly_sin_2|yearly_sin_3
6,7,2019-01-01,2024-12-04,2024-12-05,2024-12-11,78.0224609375,97.71565828162241,0.6003825058412257,55.423130580357146,fourier_dynamic_regression,,,,,,,,,,,
6,7,2019-01-01,2024-12-04,2024-12-05,2024-12-11,75.67485841164606,79.82398579784515,0.5823177143663653,27.798577444184826,tree_boosting_fallback,,,,,,,,,,,
