date,target,missing_period_flag,series_scope
2019-07-31,900,0,system_level
2019-08-01,1053,0,system_level
2019-08-02,1039,0,system_level
2019-08-03,804,0,system_level
2019-08-04,664,0,system_level
2019-08-05,933,0,system_level
2019-08-06,1118,0,system_level
2019-08-07,976,0,system_level
2019-08-08,1052,0,system_level
2019-08-09,1009,0,system_level
2019-08-10,734,0,system_level
2019-08-11,808,0,system_level
2019-08-12,961,0,system_level
2019-08-13,1099,0,system_level
2019-08-14,982,0,system_level
2019-08-15,1028,0,system_level
2019-08-16,1034,0,system_level
2019-08-17,916,0,system_level
2019-08-18,1210,0,system_level
2019-08-19,952,0,system_level
2019-08-20,1139,0,system_level
2019-08-21,1191,0,system_level
2019-08-22,1181,0,system_level
2019-08-23,1148,0,system_level
2019-08-24,926,0,system_level
2019-08-25,820,0,system_level
2019-08-26,1041,0,system_level
2019-08-27,1126,0,system_level
2019-08-28,1001,0,system_level
2019-08-29,1040,0,system_level
2019-08-30,1067,0,system_level
2019-08-31,818,0,system_level
2019-09-01,851,0,system_level
2019-09-02,800,0,system_level
2019-09-03,1032,0,system_level
2019-09-04,980,0,system_level
2019-09-05,1019,0,system_level
2019-09-06,1006,0,system_level
2019-09-07,921,0,system_level
2019-09-08,852,0,system_level
2019-09-09,964,0,system_level
2019-09-10,1123,0,system_level
2019-09-11,995,0,system_level
2019-09-12,1003,0,system_level
2019-09-13,992,0,system_level
2019-09-14,825,0,system_level
2019-09-15,742,0,system_level
2019-09-16,1014,0,system_level
2019-09-17,1106,0,system_level
2019-09-18,1188,0,system_level
2019-09-19,967,0,system_level
2019-09-20,1128,0,system_level
2019-09-21,882,0,system_level
2019-09-22,932,0,system_level
2019-09-23,1039,0,system_level
2019-09-24,960,0,system_level
2019-09-25,1089,0,system_level
2019-09-26,1047,0,system_level
2019-09-27,964,0,system_level
2019-09-28,644,0,system_level
2019-09-29,747,0,system_level
2019-09-30,890,0,system_level
2019-10-01,924,0,system_level
2019-10-02,944,0,system_level
2019-10-03,964,0,system_level
2019-10-04,955,0,system_level
2019-10-05,755,0,system_level
2019-10-06,2245,0,system_level
2019-10-07,916,0,system_level
2019-10-08,924,0,system_level
2019-10-09,941,0,system_level
2019-10-10,1017,0,system_level
2019-10-11,886,0,system_level
2019-10-12,654,0,system_level
2019-10-13,718,0,system_level
2019-10-14,779,0,system_level
2019-10-15,896,0,system_level
2019-10-16,972,0,system_level
2019-10-17,946,0,system_level
2019-10-18,1009,0,system_level
2019-10-19,702,0,system_level
2019-10-20,689,0,system_level
2019-10-21,983,0,system_level
2019-10-22,931,0,system_level
2019-10-23,972,0,system_level
2019-10-24,953,0,system_level
2019-10-25,873,0,system_level
2019-10-26,684,0,system_level
2019-10-27,702,0,system_level
2019-10-28,948,0,system_level
2019-10-29,1017,0,system_level
2019-10-30,966,0,system_level
2019-10-31,891,0,system_level
2019-11-01,905,0,system_level
2019-11-02,741,0,system_level
2019-11-03,620,0,system_level
2019-11-04,948,0,system_level
2019-11-05,845,0,system_level
2019-11-06,955,0,system_level
2019-11-07,896,0,system_level
2019-11-08,974,0,system_level
2019-11-09,629,0,system_level
2019-11-10,580,0,system_level
2019-11-11,734,0,system_level
2019-11-12,886,0,system_level
2019-11-13,898,0,system_level
2019-11-14,966,0,system_level
2019-11-15,918,0,system_level
2019-11-16,666,0,system_level
2019-11-17,709,0,system_level
2019-11-18,919,0,system_level
2019-11-19,892,0,system_level
2019-11-20,588,0,system_level
2019-11-21,1003,0,system_level
2019-11-22,984,0,system_level
2019-11-23,773,0,system_level
2019-11-24,614,0,system_level
2019-11-25,1023,0,system_level
2019-11-26,996,0,system_level
2019-11-27,365,0,system_level
2019-11-28,110,0,system_level
2019-11-29,514,0,system_level
2019-11-30,471,0,system_level
2019-12-01,537,0,system_level
2019-12-02,794,0,system_level
2019-12-03,863,0,system_level
2019-12-04,495,0,system_level
2019-12-05,902,0,system_level
2019-12-06,746,0,system_level
2019-12-07,552,0,system_level
2019-12-08,399,0,system_level
2019-12-09,770,0,system_level
2019-12-10,853,0,system_level
2019-12-11,807,0,system_level
2019-12-12,937,0,system_level
2019-12-13,961,0,system_level
2019-12-14,607,0,system_level
2019-12-15,474,0,system_level
2019-12-16,801,0,system_level
2019-12-17,880,0,system_level
2019-12-18,877,0,system_level
2019-12-19,879,0,system_level
