model_name,fold_id,horizon,mae,rmse,mase,bias,rows,stations
deepar,1,7,3.7211284679753973,8.06840657025471,1.0641999054494935,-2.8937160044887373,1409,224
deepar,1,30,4.630672238586087,10.103638929691892,1.3843732960922372,-3.917512060827727,6049,226
deepar,2,7,4.220384597864955,8.050742657675485,1.2926299079649486,-3.3841220863856547,1376,223
deepar,2,30,5.301332467584508,10.343754991003125,1.5696233740984422,-4.676335565737288,6105,224
deepar,3,7,4.521080647208107,8.332621867678553,1.3649542091170495,-3.763941036788359,1417,222
deepar,3,30,4.964392625257784,9.651995585975222,1.49812456301008,-4.25025173026995,6043,225
deepar,4,7,3.879357164897472,7.151242953868847,1.2033993254916184,-2.32370262168686,1366,221
deepar,4,30,3.8072685757672935,6.874130152525976,1.171927514448497,-2.2442646672405884,5763,222
lgbm,1,7,2.2846382700498964,3.495825175680457,0.8281507523350841,0.19494164051550392,1409,224
lgbm,1,30,2.829627679633306,5.395137049089793,1.0432715393129977,-0.4308026994920727,6049,226
lgbm,2,7,2.7689117422033505,4.411265842814228,0.9754924277591223,0.32867042848988004,1376,223
lgbm,2,30,3.168303787358998,5.2474284513228735,1.1058845268093875,-0.4911549234712496,6105,224
lgbm,3,7,2.743970982626464,4.116227235277523,0.975133751338623,0.5513510867619162,1417,222
lgbm,3,30,3.1252480708104264,5.7417033673366635,1.129041045731847,0.7446787062064996,6043,225
lgbm,4,7,2.7090202858979615,4.402407845960579,0.9365516971489816,0.20689964173861985,1366,221
lgbm,4,30,2.733491303128789,4.184262204093135,0.9487776983054343,0.7154387881232186,5763,222
naive,1,7,2.879347054648687,4.6271178949962435,1.0031189643287168,-0.2789212207239177,1409,224
naive,1,30,3.4404033724582574,6.055742060457484,1.220007525024146,-0.9249462721110927,6049,226
naive,2,7,3.403343023255814,5.343641624768027,1.1956827407143935,0.11119186046511628,1376,223
naive,2,30,3.9316953316953316,6.626022706282925,1.3385935404062461,-0.7677313677313677,6105,224
naive,3,7,3.8884968242766407,6.162467496525269,1.3607723872990731,0.38390966831333806,1417,222
naive,3,30,4.178884659937117,7.29396233060091,1.4741869125160354,0.4668211153400629,6043,225
naive,4,7,3.3513909224011713,5.5594747848038395,1.1229218125487632,-0.21815519765739386,1366,221
naive,4,30,3.3147666146104457,5.159658112470689,1.137541349746566,0.521429810862398,5763,222
seasonal_naive_7,1,7,2.8317955997161106,4.450660033506693,1.0237246237277262,-0.0667139815471966,1409,224
seasonal_naive_7,1,30,3.401719292445032,6.000509704475642,1.2123418629755782,-0.7077202843445197,6049,226
seasonal_naive_7,2,7,3.7405523255813953,6.7819549387103475,1.2488898476201802,0.33648255813953487,1376,223
seasonal_naive_7,2,30,3.9567567567567568,7.023909092186411,1.3329494366922967,-0.5696969696969697,6105,224
seasonal_naive_7,3,7,3.4897671136203248,5.2337728517712625,1.250701067076369,0.29710656316160905,1417,222
seasonal_naive_7,3,30,3.6744994208174746,6.534383150993779,1.3289229006406216,0.3539632632798279,6043,225
seasonal_naive_7,4,7,3.549780380673499,5.618613179035989,1.2268093491909982,0.28330893118594436,1366,221
seasonal_naive_7,4,30,3.5875412111747353,5.675825243219429,1.2279842154092417,1.0652437966336978,5763,222
xgboost,1,7,2.286666013057604,3.5164384897735093,0.8218056566793144,0.1381698317039158,1409,224
xgboost,1,30,2.83519199801988,5.417712240546348,1.0372486368984375,-0.5585359273071325,6049,226
xgboost,2,7,2.768609771936169,4.466984721739536,0.9737982063225443,0.3228530689638501,1376,223
xgboost,2,30,3.172043592961736,5.252925593797392,1.1028684857006086,-0.43483313166556053,6105,224
xgboost,3,7,2.7120126948102756,4.082092360808246,0.9604138099338657,0.4620740576502353,1417,222
xgboost,3,30,3.015025305414406,5.626456704242548,1.0867167907785964,0.5166551058653742,6043,225
xgboost,4,7,2.6728908702688545,4.431545948107127,0.9175791994953308,0.04070286339740433,1366,221
xgboost,4,30,2.6458747229964104,4.166750752078388,0.9014942601079622,0.38415689474912973,5763,222
