model_name,horizon,horizon_step,calibration_method,source_horizon,source_step_start,source_step_end,n_residuals,residual_q025,residual_q10,residual_q90,residual_q975
deepar,7,1,step_specific,7,1,1,797,-2.672565388679504,-1.7707809448242184,8.74121856689453,20.325092434883118
deepar,7,2,step_specific,7,2,2,792,-2.8539429545402526,-1.9455395936965942,9.067883300781245,20.268164825439456
deepar,7,3,step_specific,7,3,3,783,-2.705746221542358,-1.7669146060943604,9.439853191375738,23.07508702278133
deepar,7,4,step_specific,7,4,4,792,-3.161690413951874,-2.0044816493988034,9.163606524467468,20.06333512067798
deepar,7,5,step_specific,7,5,5,794,-2.7579064846038817,-1.6044227123260497,10.586146211624147,24.135976767539944
deepar,7,6,step_specific,7,6,6,810,-2.956004673242569,-1.8310859203338623,9.912600660324099,22.4067296206951
deepar,7,7,step_specific,7,7,7,800,-2.88532258272171,-2.0250171184539796,10.577827882766725,21.75418877601622
deepar,30,1,step_specific,30,1,1,797,-2.672565388679504,-1.7707809448242184,8.74121856689453,20.325092434883118
deepar,30,2,step_specific,30,2,2,792,-2.8539429545402526,-1.9455395936965942,9.067883300781245,20.268164825439456
deepar,30,3,step_specific,30,3,3,783,-2.705746221542358,-1.7669146060943604,9.439853191375738,23.07508702278133
deepar,30,4,step_specific,30,4,4,792,-3.161690413951874,-2.0044816493988034,9.163606524467468,20.06333512067798
deepar,30,5,step_specific,30,5,5,794,-2.7579064846038817,-1.6044227123260497,10.586146211624147,24.135976767539944
deepar,30,6,step_specific,30,6,6,810,-2.956004673242569,-1.8310859203338623,9.912600660324099,22.4067296206951
deepar,30,7,step_specific,30,7,7,800,-2.88532258272171,-2.0250171184539796,10.577827882766725,21.75418877601622
deepar,30,8,step_specific,30,8,8,822,-2.805456358194351,-1.4784433364868161,12.7196614742279,35.55999245047573
deepar,30,9,step_specific,30,9,9,819,-2.874504327774048,-1.81844744682312,11.517583131790182,24.130682349205006
deepar,30,10,step_specific,30,10,10,808,-2.8020013988018033,-1.6031628370285034,11.143395805358901,25.278784394264218
deepar,30,11,step_specific,30,11,11,799,-2.5601159572601317,-1.6249594211578369,10.872388839721683,22.056202948093368
deepar,30,12,step_specific,30,12,12,815,-2.6447237372398376,-1.7295462608337402,13.605969715118409,31.562488269805886
deepar,30,13,step_specific,30,13,13,796,-2.989727258682251,-1.823344349861145,10.97585916519165,26.123985290527344
deepar,30,14,step_specific,30,14,14,792,-2.459944039583206,-1.5938674449920653,10.273654770851131,24.757977986335774
deepar,30,15,step_specific,30,15,15,819,-2.7035868525505067,-1.7482377052307128,10.974236822128297,24.812263154983405
deepar,30,16,step_specific,30,16,16,795,-2.410788154602051,-1.300526714324951,11.3079749584198,24.26468155384062
deepar,30,17,step_specific,30,17,17,813,-2.838817596435547,-1.6428486824035644,11.940278244018565,30.17475664615627
deepar,30,18,step_specific,30,18,18,807,-2.656706035137176,-1.6284839630126953,12.386507415771485,27.21805622577669
deepar,30,19,step_specific,30,19,19,790,-2.7788698554039,-1.8272902727127076,11.843846702575684,27.25393362641332
deepar,30,20,step_specific,30,20,20,788,-2.974095809459686,-1.8030312538146973,12.612982606887828,26.22998791336999
deepar,30,21,step_specific,30,21,21,800,-2.6755196809768678,-1.5337899923324585,12.357728219032287,27.21586764454841
deepar,30,22,step_specific,30,22,22,792,-2.6477753043174745,-1.7474871873855589,12.464402675628662,26.80744296312332
deepar,30,23,step_specific,30,23,23,809,-2.429460954666138,-1.4970492362976073,11.318462038040169,26.14157142639159
deepar,30,24,step_specific,30,24,24,777,-2.861179828643799,-1.9424625873565673,11.566200351715086,27.36814656257633
deepar,30,25,step_specific,30,25,25,793,-2.901701736450195,-1.7406188011169432,11.6257465839386,28.11942200660705
